,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
3477,900000.0,1582.0,Third Party insurance,Automatic,38506.0,First Owner,Diesel,126.2,5.0,22.0,Sedan,Kolkata,2019,Hyundai Verna,4.0
3478,699000.0,998.0,Third Party,Manual,28400.0,First Owner,Petrol,118.35,5.0,18.27,SUV,Kolkata,2020,Hyundai Venue,3.0
3479,1025000.0,1591.0,Comprehensive,Manual,23000.0,First Owner,Petrol,121.3,5.0,15.29,SUV,Kolkata,2019,Hyundai Creta,4.0
3481,899000.0,1591.0,Comprehensive,Manual,20000.0,First Owner,Petrol,121.3,5.0,17.0,Sedan,Kolkata,2019,Hyundai Verna,4.0
3482,1050000.0,1497.0,Comprehensive,Manual,16000.0,First Owner,Petrol,113.18,5.0,17.7,Sedan,Kolkata,2021,Hyundai Verna,2.0
3485,455000.0,1248.0,Comprehensive,Manual,54000.0,First Owner,Diesel,74.0,5.0,27.39,Hatchback,Kolkata,2018,Maruti Baleno,5.0
3488,550000.0,1197.0,Comprehensive,Manual,42411.0,First Owner,Petrol,81.83,5.0,18.6,Hatchback,Kolkata,2018,Hyundai i20,5.0
3490,335000.0,1497.0,Third Party insurance,Manual,72000.0,First Owner,Petrol,117.3,5.0,17.4,Sedan,Kolkata,2015,Honda City,8.0
3491,395000.0,1198.0,Third Party insurance,Manual,41754.0,Second Owner,Petrol,86.7,5.0,18.0,Sedan,Kolkata,2015,Honda Amaze,8.0
3492,325000.0,1197.0,Third Party,Manual,65000.0,First Owner,Petrol,82.0,5.0,19.1,Sedan,Kolkata,2015,Hyundai Xcent,8.0
3493,135000.0,1399.0,Third Party,Manual,48000.0,First Owner,Petrol,92.7,5.0,14.49,Sedan,Kolkata,2009,Chevrolet Aveo,14.0
3494,1825000.0,1493.0,Comprehensive,Automatic,11853.0,First Owner,Diesel,113.43,5.0,18.0,SUV,Kolkata,2022,Kia Seltos,1.0
3495,550000.0,1798.0,Third Party insurance,Manual,77500.0,First Owner,Petrol,138.03,5.0,14.28,Sedan,Kolkata,2015,Toyota Corolla,8.0
3496,850000.0,1396.0,Third Party insurance,Manual,36374.0,First Owner,Diesel,88.7,5.0,23.7,SUV,Kolkata,2019,Hyundai Venue,4.0
3497,575000.0,1197.0,Comprehensive,Manual,12000.0,First Owner,Petrol,81.86,5.0,20.7,Hatchback,Kolkata,2020,Hyundai Grand,3.0
3501,399000.0,1198.0,Comprehensive,Manual,46000.0,First Owner,Petrol,86.8,5.0,18.5,Hatchback,Kolkata,2018,Honda Brio,5.0
3502,450000.0,1197.0,Comprehensive,Manual,50000.0,First Owner,Petrol,81.8,5.0,21.21,Sedan,Kolkata,2016,Maruti Swift,7.0
3503,399000.0,1396.0,Comprehensive,Manual,48000.0,First Owner,Petrol,105.5,5.0,17.43,Sedan,Kolkata,2015,Hyundai Verna,8.0
3505,330000.0,796.0,Comprehensive,Manual,5000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Kolkata,2021,Maruti Alto,2.0
3506,499000.0,1199.0,Comprehensive,Manual,48000.0,First Owner,Petrol,88.7,5.0,17.5,SUV,Kolkata,2018,Honda WR-V,5.0
3507,160000.0,1498.0,Comprehensive,Manual,75000.0,First Owner,Diesel,99.0,5.0,25.83,Hatchback,Kolkata,2015,Ford Figo,8.0
3509,450000.0,1497.0,Comprehensive,Manual,45000.0,First Owner,Petrol,117.3,7.0,17.3,MUV,Kolkata,2014,Honda Mobilio,9.0
3511,899000.0,1498.0,Comprehensive,Manual,21000.0,Second Owner,Diesel,98.96,5.0,21.7,SUV,Kolkata,2021,Ford Ecosport,2.0
3512,1125000.0,1497.0,Third Party insurance,Manual,5500.0,First Owner,Petrol,113.18,5.0,17.7,Sedan,Kolkata,2022,Hyundai Verna,1.0
3513,425000.0,1498.0,Comprehensive,Manual,72561.0,First Owner,Diesel,89.84,5.0,22.7,SUV,Kolkata,2014,Ford Ecosport,9.0
3514,425000.0,998.0,Comprehensive,Manual,19000.0,First Owner,Petrol,67.0,5.0,21.63,Hatchback,Kolkata,2018,Maruti Celerio,5.0
3515,395000.0,1197.0,Third Party,Manual,65000.0,First Owner,Petrol,81.83,5.0,18.6,Hatchback,Kolkata,2014,Hyundai i20,9.0
3516,295000.0,1198.0,Third Party,Manual,65000.0,First Owner,Petrol,86.7,5.0,18.0,Sedan,Kolkata,2015,Honda Amaze,8.0
3517,725000.0,1248.0,Third Party insurance,Manual,79500.0,First Owner,Diesel,88.5,7.0,25.47,MUV,Kolkata,2018,Maruti Ertiga,5.0
3518,550000.0,1197.0,Third Party insurance,Automatic,26500.0,First Owner,Petrol,81.86,5.0,20.7,Hatchback,Kolkata,2020,Hyundai Grand,3.0
3519,650000.0,1197.0,Third Party,Manual,34000.0,First Owner,Petrol,108.6,5.0,17.0,SUV,Kolkata,2019,Mahindra XUV300,4.0
3522,499000.0,1197.0,Comprehensive,Manual,39000.0,First Owner,Petrol,81.86,5.0,20.14,Sedan,Kolkata,2019,Hyundai Xcent,4.0
3523,225000.0,1198.0,Comprehensive,Manual,39000.0,First Owner,Petrol,88.8,5.0,16.7,Hatchback,Kolkata,2012,Honda Jazz,11.0
3524,750000.0,1462.0,Third Party insurance,Manual,32599.0,First Owner,Petrol,103.26,7.0,19.01,MUV,Kolkata,2019,Maruti Ertiga,4.0
